71,"Reitmans Department Store","1309 Carling Ave.","Westgate Shopping Centre","OTTAWA","ON",518
75,"Reitmans Department Store","2269 Riverside Dr. E","Billing Bridge Shopping Centre","OTTAWA","ON",518
78,"Reitmans Department Store","661-679 Upper James St.","Mountain Plaza","HAMILTON","ON",548
88,"Reitmans Department Store","419 King Street West, #2500","Oshawa Centre,","OSHAWA","ON",502
94,"Reitmans Department Store","900 Dufferin St.","Dufferin Mall","TORONTO","ON",537
98,"Reitmans Department Store","1349 Lasalle Blvd.","New Sudbury S.C.","SUDBURY","ON",507
106,"Reitmans Department Store","85 Ellesmere Rd.","Parkway Mall, Unit 28 A","SCARBOROUGH","ON",537
108,"Reitmans Department Store","221 Glendale Ave.","The Pen Centre, Unit 80","ST CATHARINES","ON",548
113,"Reitmans Department Store","1076 Bliss St.","Oromocto S.C.","OROMOCTO","NB",519
128,"Reitmans Department Store","979 Fennel Ave. E.","Fennell S.C.","HAMILTON","ON",548
141,"Reitmans Department Store","6455 MacLeod Trail","Chinook Centre #110","CALGARY","AB",521
144,"Reitmans Department Store","3495 Lawrence Ave. E.,","Cedarbrae Mall","SCARBOROUGH","ON",537
150,"Reitmans Department Store","250 The East Mall","Cloverdale Mall, Unit 219","ETOBICOKE","ON",501
163,"Reitmans Department Store","285 Geneva St.","Fairview Mall, Unit #E6","ST CATHARINES","ON",548
168,"Reitmans Department Store","4567 Lougheed Hwy","Brentwood Mall","BURNABY","BC",522
171,"Reitmans Department Store","45 Overlea Blvd.","East York Town Centre","TORONTO","ON",537
172,"Reitmans Department Store","302 Prince St.","Sydney S.C.","SYDNEY","NS",519
186,"Reitmans Department Store","7001 Mumford Rd.","Halifax S.C., Unit #106/107","HALIFAX","NS",519
188,"Reitmans Department Store","75 King St. S.","Waterloo Town Square Unit #35","WATERLOO","ON",548
193,"Reitmans Department Store","7652 Tecumseh Rd. E.","Tecumseh Mall","WINDSOR","ON",504
210,"Reitmans Department Store","621 Fairville Blvd.","Lancaster Mall","SAINT JOHN","NB",519
211,"Reitmans Department Store","241 Albert St.","Northgate Mall","REGINA","SK",524
216,"Reitmans Department Store","1925 Dundas St. E.","Argyle Mall","LONDON","ON",504
220,"Reitmans Department Store","1194 Guildford Town Centre","Guildford Town Centre","SURREY","BC",522
225,"Reitmans Department Store","48 Kenmount Road","Avalon Park Shopping Centre","ST. JOHN'S","NL",549
227,"Reitmans Department Store","66 Wellington St. W.","Toronto Dominion Centre","TORONTO","ON",537
228,"Reitmans Department Store","1200 St. Laurent Blvd.,","Unit #144","OTTAWA","ON",518
