8,"Reitmans Department Store","4025 Wellington St.",,"VERDUN","QC",516
12,"Reitmans Department Store","1679 Mount Royal St. E.",,"MONTREAL","QC",516
54,"Reitmans Department Store","4190 Jean Talon St. E.",,"SAINT-LEONARD","QC",516
59,"Reitmans Department Store","362 Dorval Rd..","Dorval Gardens S.C","DORVAL","QC",516
84,"Reitmans Department Store","7021 Cote St. Luc Rd.","Cote St.Luc S.C.","COTE SAINT-LUC","QC",516
90,"Reitmans Department Store","10539 Pie IX Bl.","Forest Shopping Centre","MONTREAL-NORD","QC",516
123,"Reitmans Department Store","3205 Ave. de Granby, Unit #10","Domaine S.C.","MONTREAL","QC",516
145,"Reitmans Department Store","4268-1st. Ave.","Les Galeries Charlesbourg","QUEBEC","QC",517
160,"Reitmans Department Store","1757 Fleury St. E.","Fleury S.C.","MONTREAL","QC",516
173,"Reitmans Department Store","200 Blvd. D'Anjou #277","Chateauguay Shopping Centre","CHATEAUGUAY","QC",515
187,"Reitmans Department Store","1 Place Ville Marie","Suite 1105","MONTREAL","QC",516
192,"Reitmans Department Store","550 blvd. Hamel","Place Fleur de Lys","QUEBEC","QC",517
198,"Reitmans Department Store","7275 Sherbrooke St. E.","Place Versailles","MONTREAL","QC",516
218,"Reitmans Department Store","7852 Champlain Blvd. Unit #20","Place Lasalle","LASALLE","QC",516
222,"Reitmans Department Store","7250 Taschereau Blvd., Unit 13","Place Portobello","BROSSARD","QC",515
226,"Reitmans Department Store","1500 Atwater St.","Alexis Nihon Plaza","MONTREAL","QC",516
229,"Reitmans Department Store","1600 Boul. Le Corbusier,","Centre Laval","LAVAL","QC",515
230,"Reitmans Department Store","7999 Boul. Les Galeries d'Anjou","Les Galeries d'Anjou","ANJOU","QC",516
234,"Reitmans Department Store","6700 Cote Des Neiges Rd.","Plaza Cote des Neiges","MONTREAL","QC",516
270,"Reitmans Department Store","4125 Boul DesForges B-5","Centre D'Achat Les Rivieres","TROIS-RIVIERES","QC",505
275,"Reitmans Department Store","2940 Remembrance St.","Les Galeries Lachine","LACHINE","QC",516
290,"Reitmans Department Store","320 Boul St-Joseph, Unit #235","Galeries de Hull","GATINEAU","QC",518
369,"SMART SET","3131 Cote Vertu","Place Cote Vertu","SAINT-LAURENT","QC",516
373,"SMART SET","2151 Lapiniere Unit F10","Champlain Mall,","BROSSARD","QC",515
410,"Reitmans Department Store","3050 Portland Blvd.","Carrefour de l'Estrie","SHERBROOKE","QC",505
418,"Reitmans Department Store","1 Plaza de la Mauricie",,"SHAWINIGAN","QC",505
420,"Reitmans Department Store","3035 boul. Le Carrefour","Carrefour Laval","LAVAL","QC",515
425,"Reitmans Department Store","999 De Bourgogne","Place des Quatre Bourgeois","QUEBEC","QC",517
443,"Reitmans Department Store","100 Brien Blvd.","Galeries Rive Nord Suite 13","REPENTIGNY","QC",515
446,"Reitmans Department Store","600 Laurier Blvd.,","Montenach Mall","BELOEIL","QC",515
452,"Reitmans Department Store","3131 Cote Vertu","Place Cote Vertu","SAINT-LAURENT","QC",516
458,"Reitmans Department Store","1075 Firestone","Galeries Joliette Loc.1460","JOLIETTE","QC",515
462,"Reitmans Department Store","180 Ste Catherine W., Unit #210","Complexe Desjardins,","MONTREAL","QC",516
472,"Reitmans Department Store","1005 Laure Blvd.,","Galeries Montagnaises","SEPT-ILES","QC",517
480,"Reitmans Department Store","175 rue Principale","Domaine du Parc","COWANSVILLE","QC",505
482,"Reitmans Department Store","12675 Sherbrooke St.E.","Carrefour de la Pointe","POINTE-AUX-TREMBLES","QC",516
491,"Reitmans Department Store","2151 Lapiniere","Champlain Mall","BROSSARD","QC",515
511,"Reitmans Department Store","324 Boulevard des Promenades,","Promenades St. Bruno","SAINT-BRUNO","QC",515
545,"Reitmans Department Store","825 St. Laurent O.","Place Longueuil","LONGUEUIL","QC",515
555,"Reitmans Department Store","5401 Boul des Galeries","Galeries de la Capitale","QUEBEC","QC",517
562,"Reitmans Department Store","466 - 3ieme Ave.,","Chibougamau S.C.","CHIBOUGAMAU","QC",517
577,"Reitmans Department Store","3200 Blvd. Laframboise","Les Galeries St.Hyacinthe","SAINT-HYACINTHE","QC",515
597,"Reitmans Department Store","367 Arthur Sauve Blvd.","Place St. Eustache,","SAINT-EUSTACHE","QC",515
599,"Reitmans Department Store","82-1st Ave. E. Suite #019","Place Centre-Ville Amos","AMOS","QC",507
607,"Reitmans Department Store","7077 Boul. Newman, Unit #60","Carrefour Angrignon","LASALLE","QC",516
621,"Reitmans Department Store","1500 Ave. McGill College","Place Montreal Trust,","MONTREAL","QC",516
632,"Reitmans Department Store","597 rue Phare E","La Promenade du St-Laurent","MATANE","QC",517
658,"Reitmans Department Store","200 Promenade du Portage","Place du Centre","GATINEAU","QC",518
667,"Reitmans Department Store","181 rue Principale","Galeries Aylmer","GATINEAU","QC",518
673,"Reitmans Department Store","1221 boul. Marcotte, Unit 9","Carrefour Jeannois","ROBERVAL","QC",517
678,"Reitmans Department Store","930-13th Ave. N.","Galeries Quatre Saisons","SHERBROOKE","QC",505
680,"Reitmans Department Store","101 Cardinal Leger U.#95","Faubourg de l'Ile","PINCOURT","QC",515
699,"Reitmans Department Store","848-1 rue Principale","Granby Shopping Centre","GRANBY","QC",505
750,"SMART SET","6815 Trans Canada Hwy.","Fairview Pointe-Claire,","POINTE-CLAIRE","QC",516
839,"SMART SET","40 Evangeline St., Unit 00020","Galeries Granby","GRANBY","QC",505
848,"SMART SET","4125 Boul DesForges B35","Centre d'achat Les Rivieres","TROIS-RIVIERES","QC",505
851,"SMART SET","1500 Ave. McGill College","Place Montreal Trust","MONTREAL","QC",516
866,"SMART SET","3050 Portland Blvd. Unit #E-26","Carrefour de l'Estrie","SHERBROOKE","QC",505
878,"SMART SET","175 Bl. Les Promenades,","Promenades St-Bruno Box 1105","SAINT-BRUNO","QC",515
883,"SMART SET","7999 Bl. Les Galeries d'Anjou","Les Galeries d'Anjou","ANJOU","QC",516
887,"SMART SET","100 boul. Brien Unit #12A","Galeries Rive Nord,","REPENTIGNY","QC",515
891,"SMART SET","7077 Newman","Carrefour Angrignon,","LASALLE","QC",516
1000,"Reitmans Department Store","295 boul. Armand Theriault Unit F","Plaza Theriault","RIVIERE-DU-LOUP","QC",517
1002,"Reitmans Department Store","3100 bl. de la Concorde E. Unit #6","Duvernay S.C.","LAVAL","QC",515
1009,"Reitmans Department Store","939 Boul. Albiny-Paquette","Plaza Paquette","MONT-LAURIER","QC",518
1040,"Reitmans Department Store","1401 boul. Talbot, Unit #A22","Place du Royaume,","CHICOUTIMI","QC",517
1041,"Reitmans Department Store","6361 Rte Trans-Canadienne","Complexe Pte-Claire","POINTE-CLAIRE","QC",516
1048,"Reitmans Department Store","8585 boul. Lacroix, Unit #19","Carrefour St-Georges,","SAINT-GEORGES","QC",517
1049,"Reitmans Department Store","620 Desserte O. Autoroute Chomedey","Mega Centre Ste-Dorothee","LAVAL","QC",515
1054,"Reitmans Department Store","127 Montee Masson","Mega Centre First Pro Mascouche","MASCOUCHE","QC",515
1060,"Reitmans Department Store","1007 Marche Central, Unit #B-2","Marche Central,","MONTREAL","QC",516
1064,"Reitmans Department Store","1493 rue Jules Verne","Charest & Duplessis","QUEBEC","QC",517
1070,"Reitmans Department Store","6775 St-Hubert Street",,"MONTREAL","QC",516
1077,"Reitmans Department Store","1065 Jean Baptiste Rolland Blvd.","Mega Centre St-Jerome,","SAINT-JEROME","QC",515
1093,"Reitmans Department Store","520 Voie de la Desserte,Rte1","Mega Ctre First Pro St.Constant,","SAINT-CONSTANT","QC",515
1094,"Reitmans Department Store","20 Omer-Marcil","Centre First Pro Saint-Jean,","SAINT-JEAN-SUR-RICHELIEU","QC",515
1096,"Reitmans Department Store","2100 Monseigneur-Langlois Blvd.","Mega Centre Valleyfield,","SALABERRY-DE-VALLEYFIELD","QC",515
1100,"Reitmans Department Store","RR 61, 582 Chemin de Tourraine,","Carrefour de la Rive Sud,","BOUCHERVILLE","QC",515
1103,"Reitmans Department Store","508 Montee des Pionniers","Les Galeries de Lanaudiere,","LACHENAIE","QC",515
1104,"Reitmans Department Store","715 Clemenceau Street","Mega Centre Beauport,","QUEBEC","QC",517
1106,"Reitmans Department Store","200 Bouvier Street, Suite 400","Mega Centre Lebourgneuf,","QUEBEC","QC",517
1112,"Reitmans Department Store","75 Du Plateau Blvd., Local 500","Hull Wal-Mart Centre","GATINEAU","QC",518
1116,"Reitmans Department Store","1025 Rene-Levesque, Suite 200","Centre First Pro Drummondville,","DRUMMONDVILLE","QC",505
1117,"Reitmans Department Store","6182 Henri-Bourassa Blvd Est","Ctre Commercial Premieres Neiges,","MONTREAL-NORD","QC",516
1121,"Reitmans Department Store","98C route du President Kennedy","Place Kennedy","LEVIS","QC",517
1151,"Reitmans Department Store","4600 Des Recollets Blvd.","Carrefour Trois-Rivieres,","TROIS-RIVIERES","QC",505
1158,"Reitmans Department Store","397 Montee Ind.-et-Commerciale","Centre First Pro Rimouski","RIMOUSKI","QC",517
1160,"Reitmans Department Store","5440 boul. De Val-Des-Brises","First Pro Laval East","LAVAL","QC",515
